院系名称,全校毕业生_毕业人数,全校毕业生_就业数,全校毕业生_毕业去向落实率,本科生毕业_毕业人数,本科生毕业_就业数,本科生毕业_毕业去向落实率,毕业研究生_毕业人数,毕业研究生_就业数,毕业研究生_毕业去向落实率,博士生毕业_毕业人数,博士生毕业_就业数,博士生毕业_毕业去向落实率,硕士生毕业_毕业人数,硕士生毕业_就业数,硕士生毕业_毕业去向落实率,年份
管理科学与房地产学院,577,563,0.9757,232,224,0.9655,345,339,0.9826,14,14,1,331,325,0.9819,2024
航空航天学院,173,161,0.9306,108,97,0.8981,65,64,0.9846,11,11,1,54,53,0.9815,2024
材料科学与工程学院,606,554,0.9142,293,246,0.8396,313,308,0.984,61,60,0.9836,252,248,0.9841,2024
经济与工商管理学院,961,922,0.9594,298,274,0.9195,663,648,0.9774,37,33,0.8919,626,615,0.9824,2024
公共管理学院,559,536,0.9589,168,158,0.9405,391,378,0.9668,9,9,1,382,369,0.966,2024
微电子与通信工程学院,459,433,0.9434,278,255,0.9173,181,178,0.9834,19,19,1,162,159,0.9815,2024
计算机学院,487,460,0.9446,295,272,0.922,192,188,0.9792,14,13,0.9286,178,175,0.9831,2024
土木工程学院,932,863,0.926,469,415,0.8849,463,448,0.9676,54,51,0.9444,409,397,0.9707,2024
大数据与软件学院,348,329,0.9454,238,219,0.9202,110,110,1,5,5,1,105,105,1,2024
生命科学学院,76,66,0.8684,27,23,0.8519,49,43,0.8776,7,6,0.8571,42,37,0.881,2024
机械与运载工程学院,1108,1049,0.9468,495,441,0.8909,613,608,0.9918,54,54,1,559,554,0.9911,2024
资源与安全学院,234,223,0.953,104,98,0.9423,130,125,0.9615,32,31,0.9688,98,94,0.9592,2024
生物工程学院,362,314,0.8674,122,92,0.7541,240,222,0.925,30,29,0.9667,210,193,0.919,2024
新闻学院,226,187,0.8274,119,88,0.7395,107,99,0.9252,9,9,1,98,90,0.9184,2024
光电工程学院,403,386,0.9578,219,206,0.9406,184,180,0.9783,31,30,0.9677,153,150,0.9804,2024
自动化学院,461,447,0.9696,268,256,0.9552,193,191,0.9896,16,16,1,177,175,0.9887,2024
数学与统计学院,338,304,0.8994,208,174,0.8365,130,130,1,12,12,1,118,118,1,2024
物理学院,249,218,0.8755,173,146,0.8439,76,72,0.9474,22,20,0.9091,54,52,0.963,2024
药学院,104,97,0.9327,55,51,0.9273,49,46,0.9388,6,6,1,43,40,0.9302,2024
重庆大学-辛辛那提大学联合学院,105,94,0.8952,105,94,0.8952,-,-,-,-,-,-,-,-,-,2024
